time,vid,cluster_head,distance_to_ch
49,1,5,117.55356268527125
49,10,15,93.29585628526057
49,11,15,214.37494839649523
49,12,NONE,400.36387561816815
49,14,24,50.65384980433375
49,15,15,0.0
49,16,23,221.91234418121041
49,17,15,42.1451124093886
49,18,NONE,332.024455123414
49,19,24,228.78152919324583
49,2,24,247.9206526290216
49,20,NONE,391.90461862550177
49,21,5,96.69
49,22,23,130.3992699366067
49,23,23,0.0
49,24,24,0.0
49,3,NONE,365.94908184062984
49,4,8,189.86624818540022
49,5,5,0.0
49,6,8,146.660359334075
49,7,24,247.92172171877155
49,8,8,0.0
49,9,15,132.53826353170624
50,0,24,183.77299257507886
50,1,5,94.22435407048437
50,10,15,105.15000000000003
50,11,25,217.60120151322698
50,12,NONE,393.1704878293894
50,14,24,64.45653807023773
50,15,15,0.0
50,16,25,186.57965296355337
50,17,15,32.129999999999995
50,18,NONE,341.56
50,19,24,234.74852097510646
50,2,24,231.1721490577963
50,20,NONE,390.11568604710067
50,21,5,98.93
50,22,NONE,345.48592460475146
50,23,NONE,298.70771148398563
50,24,24,0.0
50,25,25,0.0
50,3,NONE,347.71316699256585
50,4,8,189.36429916961646
50,5,5,0.0
50,6,8,161.71979779853797
50,7,NONE,252.46909989145206
50,8,8,0.0
50,9,25,64.67144346618528
51,0,NONE,399.8236696345027
51,1,1,0.0
51,10,15,114.07999999999998
51,11,16,89.47
51,12,NONE,474.74566833200277
51,14,NONE,373.7221413028669
51,15,15,0.0
51,16,16,0.0
51,17,15,26.66999999999996
51,18,NONE,348.71
51,19,NONE,600.7716651107974
51,2,NONE,399.84965186929946
51,20,NONE,349.7611484999442
51,21,1,30.72708251689379
51,22,16,244.99638303452565
51,23,16,214.3582974834424
51,24,NONE,431.6914667908088
51,25,25,0.0
51,3,NONE,290.3414446819468
51,4,5,210.6754824368512
51,5,5,0.0
51,6,5,198.87017875991364
51,7,NONE,600.0059853034801
51,8,5,22.52000000000001
51,9,25,54.42878098947283
52,0,NONE,388.4801369439627
52,1,5,51.67916794995834
52,10,15,122.06000000000006
52,11,16,76.99586092771484
52,12,NONE,461.89919473841917
52,14,NONE,365.6166228442027
52,15,15,0.0
52,16,16,0.0
52,17,15,26.649999999999977
52,18,NONE,354.27
52,19,NONE,600.4943043859784
52,2,NONE,397.8795597916535
52,20,NONE,304.976926340338
52,21,26,86.4392526575745
52,22,26,218.2479381345904
52,23,16,215.47823741621795
52,24,NONE,431.33509015613373
52,25,25,0.0
52,26,26,0.0
52,3,26,237.56699181494048
52,4,5,210.43164519624895
52,5,5,0.0
52,6,5,209.92594599048493
52,7,NONE,600.0030400756316
52,8,5,16.97999999999999
52,9,25,44.772484853981446
53,0,NONE,373.409958758467
53,1,5,35.66755949038285
53,10,NONE,358.61261355395743
53,11,16,62.3584036036844
53,12,NONE,448.62866448768074
53,14,NONE,349.5830958441784
53,15,25,230.22350053806406
53,16,16,0.0
53,17,25,200.09245263127744
53,18,NONE,588.0038810246068
53,19,NONE,598.8658854868927
53,2,NONE,395.8104335411082
53,20,NONE,291.8685144033182
53,21,26,71.76138306916889
53,22,26,224.81938550756695
53,23,16,219.01833096798083
53,24,NONE,424.6987148556021
53,25,25,0.0
53,26,26,0.0
53,3,26,224.4076170721484
53,4,8,196.46129491581794
53,5,5,0.0
53,6,8,207.10463538994003
53,7,NONE,598.7645163167236
53,8,8,0.0
53,9,25,38.10791256419065
54,0,27,209.2826989982688
54,1,5,23.68372436927943
54,10,NONE,413.56590780672434
54,11,16,45.791946890255694
54,12,NONE,403.74702488067953
54,14,27,124.96097950960528
54,15,NONE,303.4014213875736
54,16,16,0.0
54,17,NONE,270.234005447131
54,18,NONE,617.8933863539891
54,19,NONE,273.2889351949691
54,2,27,210.09033033435878
54,20,NONE,278.8686608423399
54,21,26,54.84343625266382
54,22,16,226.58976256662612
54,23,16,225.15790947688248
54,24,27,53.883078048678684
54,25,16,171.76050913990684
54,26,26,0.0
54,27,27,0.0
54,3,26,215.91431749654768
54,4,8,195.91629666773514
54,5,5,0.0
54,6,8,217.82771265383107
54,7,NONE,290.83107485273996
54,8,8,0.0
54,9,16,203.33000983622662
55,0,2,51.54975072684638
55,1,8,14.878202176338375
55,10,NONE,592.8266077867963
55,11,NONE,404.2887118137236
55,12,2,196.89116917728944
55,14,27,139.39673453851069
55,15,NONE,611.2989988540796
55,16,NONE,400.00418610309566
55,17,NONE,612.6823432252639
55,18,NONE,624.628895024878
55,19,2,201.97461845489403
55,2,2,0.0
55,20,2,238.5172211811969
55,21,5,143.07130669704532
55,22,NONE,383.94466736757784
55,23,NONE,374.66037006867964
55,24,24,0.0
55,25,NONE,562.6153392860881
55,26,5,179.43765184598243
55,27,27,0.0
55,3,NONE,273.58617655137476
55,4,8,197.20134330171285
55,5,5,0.0
55,6,5,228.6602405316674
55,7,2,203.45633069531166
55,8,8,0.0
55,9,NONE,603.2063142905586
56,0,2,68.30766428447103
56,1,8,6.233979467402814
56,10,NONE,590.4978301399591
56,11,NONE,402.11557965341257
56,12,2,193.881900392997
56,14,27,155.31296919446228
56,15,NONE,606.7411742250562
56,16,NONE,398.4437809779442
56,17,NONE,603.1683082689275
56,18,NONE,620.6004228970521
56,19,2,200.33901891543744
56,2,2,0.0
56,20,2,246.20077274452248
56,21,8,154.00000000000003
56,22,NONE,388.8387475548186
56,23,NONE,359.10110888160733
56,24,27,75.84012196720148
56,25,NONE,549.0993244395772
56,26,8,170.31006546883833
56,27,27,0.0
56,28,28,0.0
56,3,NONE,273.75257733946546
56,4,28,46.82000000000002
56,5,5,0.0
56,6,28,149.31429402438337
56,7,2,202.79117559696724
56,8,8,0.0
56,9,NONE,600.8152429823997
57,0,2,82.59291616113332
57,1,28,181.74217699807605
57,10,NONE,398.14723357069806
57,11,16,10.5757458365829
57,12,2,188.37017943400704
57,14,NONE,261.4550014820906
57,15,NONE,274.63036867761
57,16,16,0.0
57,17,9,201.22745662558077
57,18,NONE,598.6948976732639
57,19,2,200.82006099989115
57,2,2,0.0
57,20,NONE,250.46229616451262
57,21,16,232.63328480679627
57,22,16,232.05953115526196
57,23,NONE,256.1866985227765
57,24,2,129.13
57,25,25,0.0
57,26,16,237.6183402012563
57,27,2,215.77198265761936
57,28,28,0.0
57,3,NONE,256.88178214890985
57,4,28,35.99000000000001
57,5,28,201.15490772039345
57,6,28,165.40095797787873
57,7,2,203.82272714297588
57,8,28,208.32535923405965
57,9,9,0.0
58,0,2,97.99035105560141
58,1,8,49.42370281555199
58,10,10,0.0
58,11,11,0.0
58,12,2,181.57927442304643
58,14,NONE,253.22
58,15,10,112.5146608224901
58,16,11,27.675622847553058
58,17,10,203.22303634184783
58,18,10,200.02044795470286
58,19,2,201.16516696486
58,2,2,0.0
58,20,NONE,254.00283462985212
58,21,8,161.42000000000002
58,22,11,213.61593994831006
58,23,11,248.38342013910673
58,24,2,125.48
58,25,11,125.67021683756255
58,26,8,133.11846753925616
58,27,2,223.60342774653523
58,28,28,0.0
58,3,NONE,256.1723451116455
58,4,28,27.069999999999993
58,5,8,41.93189239707648
58,6,28,182.63803574283205
58,7,2,204.66958958282004
58,8,8,0.0
58,9,11,190.20920298450332
59,0,2,113.69448051686591
59,1,8,74.13909157792533
59,10,NONE,405.46065456465686
59,11,11,0.0
59,12,2,173.8129652816498
59,14,28,245.92000000000002
59,15,NONE,311.55890951792725
59,16,11,47.69746429318859
59,17,25,201.7010153668047
59,18,NONE,584.1209129110171
59,19,2,201.41466902884704
59,2,2,0.0
59,20,NONE,253.95801739657682
